id,items
72,['yogurt cake']
73,"['soup', 'eggs']"
74,['cookies']
75,"['chocolate', 'mineral water', 'low fat yogurt']"
76,"['eggs', 'strawberries']"
77,"['spaghetti', 'mineral water', 'white wine', 'ground beef', 'grated cheese']"
78,['mint']
79,"['eggs', 'french fries', 'cake']"
80,"['spaghetti', 'burgers', 'green tea', 'milk', 'french fries']"
81,"['energy bar', 'mineral water', 'butter', 'french fries']"
82,"['mineral water', 'herb & pepper', 'eggs', 'burgers', 'grated cheese', 'cooking oil']"
83,['energy bar']
84,"['energy drink', 'energy bar']"
85,"['chocolate', 'frozen smoothie']"
86,['low fat yogurt']
87,"['salad', 'asparagus']"
88,"['low fat yogurt', 'burgers', 'green tea', 'french fries']"
89,['low fat yogurt']
90,"['energy bar', 'spaghetti', 'mineral water', 'herb & pepper', 'french wine', 'eggs', 'shrimp', 'meatballs', 'olive oil', 'burgers', 'salt', 'pasta']"
91,"['champagne', 'low fat yogurt']"
92,['champagne']
93,"['almonds', 'eggs', 'burgers', 'green tea', 'french fries', 'cookies']"
94,"['soup', 'escalope', 'ham', 'body spray']"
95,"['pepper', 'magazines', 'turkey', 'ham', 'extra dark chocolate', 'tea', 'oil', 'frozen vegetables']"
96,"['cookies', 'eggs', 'muffins']"
97,['cookies']
98,"['spaghetti', 'whole wheat pasta', 'ground beef', 'chocolate', 'green tea', 'frozen vegetables']"
99,"['barbecue sauce', 'mineral water', 'chocolate']"
100,"['energy bar', 'herb & pepper', 'almonds', 'corn', 'eggs', 'mayonnaise', 'zucchini', 'burgers']"
101,"['soup', 'almonds', 'hot dogs', 'eggs', 'turkey', 'ground beef', 'burgers', 'chocolate', 'cottage cheese']"
102,"['spaghetti', 'eggs', 'ham', 'chocolate']"
103,"['energy bar', 'pet food', 'ground beef', 'protein bar', 'carrots']"
104,"['spaghetti', 'mineral water', 'almonds', 'eggs', 'tomato sauce', 'ground beef']"
105,"['mineral water', 'olive oil', 'gums', 'cooking oil']"
106,"['soup', 'mineral water', 'eggs', 'shrimp', 'olive oil', 'bug spray', 'milk', 'green grapes', 'avocado', 'pasta']"
107,"['soup', 'low fat yogurt', 'cake', 'shrimp', 'chicken', 'cooking oil', 'pasta', 'light mayo']"
108,"['fresh bread', 'spaghetti', 'mineral water', 'mushroom cream sauce', 'escalope', 'chocolate', 'french fries', 'champagne']"
109,"['mineral water', 'eggs', 'shrimp', 'pasta']"
110,"['fresh bread', 'tomato juice', 'burgers', 'oil']"
111,"['low fat yogurt', 'french wine', 'eggs', 'chocolate']"
112,"['eggs', 'pancakes', 'french fries', 'chicken']"
113,"['herb & pepper', 'salmon', 'white wine', 'turkey', 'candy bars']"
114,"['spaghetti', 'eggs', 'olive oil', 'green tea', 'french fries', 'grated cheese']"
115,"['energy bar', 'mineral water']"
116,"['eggs', 'french fries']"
117,"['soup', 'mineral water', 'almonds', 'eggs', 'tomato juice', 'burgers', 'chocolate', 'tomatoes', 'milk']"
118,['muffins']
119,['pasta']
120,"['spaghetti', 'tomatoes', 'frozen smoothie']"
121,"['spaghetti', 'milk', 'ground beef']"
122,['french fries']
123,"['chocolate', 'milk']"
124,"['spaghetti', 'mineral water', 'low fat yogurt', 'eggs', 'pancakes', 'shrimp', 'burgers', 'chocolate', 'milk', 'french fries', 'pasta', 'frozen vegetables']"
125,"['antioxydant juice', 'mineral water', 'ground beef', 'protein bar']"
126,"['spaghetti', 'cake', 'energy drink', 'whole wheat pasta', 'ground beef', 'grated cheese']"
127,['grated cheese']
128,['pancakes']
129,['frozen smoothie']
130,"['carrots', 'green tea']"
131,['chocolate']
132,"['corn', 'eggs', 'olive oil', 'turkey', 'burgers', 'chocolate', 'cooking oil']"
133,"['fresh bread', 'spaghetti', 'pepper', 'mineral water', 'pancakes', 'tomato juice', 'tomatoes', 'french fries', 'chili', 'chicken', 'tea', 'frozen vegetables']"
134,['cookies']
135,['ground beef']
136,"['frozen smoothie', 'eggs', 'tomato juice', 'turkey', 'chocolate']"
137,"['mashed potato', 'cooking oil', 'frozen vegetables']"
138,"['mineral water', 'tomato sauce', 'meatballs', 'olive oil', 'ground beef', 'light cream', 'tomato juice', 'frozen vegetables']"
139,"['soup', 'red wine', 'spaghetti', 'mineral water', 'cake', 'frozen smoothie', 'eggs', 'chocolate', 'gums', 'milk', 'cooking oil']"
140,"['spaghetti', 'mineral water', 'eggs', 'olive oil', 'chocolate', 'brownies', 'tomatoes', 'milk', 'rice', 'french fries', 'avocado']"
141,"['mineral water', 'eggs', 'shrimp', 'ground beef', 'chocolate', 'nonfat milk', 'pasta', 'frozen vegetables']"
142,"['spaghetti', 'pepper', 'mineral water', 'eggs', 'shrimp', 'turkey', 'french fries', 'chicken', 'pasta']"
143,['cookies']
144,"['tomatoes', 'turkey', 'cake']"
145,"['soup', 'mineral water', 'whole wheat rice', 'yams', 'pancakes', 'barbecue sauce', 'chocolate', 'milk', 'champagne', 'carrots']"
146,['rice']
147,"['chocolate', 'milk']"
148,"['shrimp', 'water spray', 'pasta', 'frozen vegetables']"
149,"['mineral water', 'whole wheat rice', 'mint', 'eggs', 'burgers', 'milk']"
150,"['vegetables mix', 'mineral water', 'cake', 'frozen smoothie', 'brownies']"
151,['cookies']
152,"['chocolate bread', 'shrimp', 'chicken', 'pasta']"
153,['shallot']
154,"['spaghetti', 'hot dogs', 'eggs', 'shrimp', 'green tea', 'pasta']"
155,['burgers']
156,"['red wine', 'spaghetti', 'mineral water', 'strong cheese', 'olive oil', 'light cream', 'ground beef', 'milk', 'cooking oil']"
157,"['spaghetti', 'burgers', 'milk', 'french fries', 'avocado', 'grated cheese', 'oil']"
158,"['mineral water', 'herb & pepper', 'whole wheat pasta', 'olive oil', 'ground beef']"
159,"['yams', 'shrimp', 'chocolate', 'milk', 'pasta']"
160,"['green tea', 'butter']"
161,['light mayo']
162,['low fat yogurt']
163,"['spaghetti', 'herb & pepper', 'shrimp', 'milk', 'pasta']"
164,"['burgers', 'eggs']"
165,"['soup', 'fresh bread', 'herb & pepper', 'eggs', 'turkey', 'tomato juice', 'ground beef', 'barbecue sauce', 'black tea', 'milk', 'cookies', 'avocado', 'carrots']"
166,['cookies']
167,['escalope']
168,"['pepper', 'low fat yogurt', 'pancakes', 'strawberries', 'french fries']"
169,"['yams', 'honey', 'frozen vegetables', 'chicken', 'light mayo']"
170,"['chocolate', 'champagne']"
171,"['herb & pepper', 'cake', 'honey', 'rice', 'protein bar']"
172,"['mineral water', 'asparagus', 'ground beef', 'burgers', 'chocolate', 'milk', 'light mayo', 'frozen vegetables']"
173,"['mineral water', 'corn', 'chocolate', 'cottage cheese', 'green tea']"
174,['muffins']
175,"['french wine', 'ham', 'escalope']"
176,"['spaghetti', 'whole wheat rice', 'mint green tea', 'milk']"
177,"['chocolate', 'body spray']"
178,"['hot dogs', 'french fries', 'frozen vegetables']"
179,['candy bars']
180,"['shrimp', 'white wine', 'burgers', 'green tea', 'milk', 'french fries', 'cookies', 'pasta']"
181,"['parmesan cheese', 'ground beef']"
182,"['pancakes', 'whole wheat rice', 'candy bars']"
183,"['cookies', 'eggs', 'eggplant']"
184,"['mineral water', 'frozen vegetables']"
185,['chocolate']
186,"['spaghetti', 'whole wheat rice', 'turkey', 'chocolate', 'milk']"
187,"['soup', 'spaghetti', 'yogurt cake', 'blueberries', 'whole wheat pasta', 'meatballs', 'ground beef', 'protein bar', 'champagne', 'chicken', 'cooking oil']"
188,"['cooking oil', 'tomato juice']"
189,"['eggs', 'green tea', 'french fries', 'milk', 'frozen vegetables']"
190,"['spaghetti', 'french wine', 'eggs', 'pancakes', 'olive oil', 'french fries', 'champagne', 'fresh tuna', 'light mayo']"
191,"['honey', 'red wine', 'hot dogs']"
192,"['fresh bread', 'bacon', 'eggs', 'milk', 'french fries']"
193,"['yogurt cake', 'french fries']"
194,['milk']
195,['french fries']
196,['chocolate']
197,"['burgers', 'ham', 'red wine']"
198,"['antioxydant juice', 'energy bar', 'frozen smoothie', 'french wine', 'shrimp', 'brownies', 'tomatoes', 'french fries', 'pasta']"
199,['green tea']
200,['low fat yogurt']
201,"['soup', 'spaghetti', 'mineral water', 'soda', 'energy drink', 'turkey', 'spinach', 'salt']"
202,"['eggs', 'turkey']"
203,"['hot dogs', 'bug spray']"
204,['oil']
205,"['soup', 'energy bar', 'cake', 'eggs', 'strawberries', 'french fries', 'body spray', 'chicken']"
206,"['chocolate', 'spaghetti', 'yogurt cake']"
207,"['mineral water', 'meatballs', 'turkey']"
208,"['mineral water', 'hot dogs', 'bacon', 'fromage blanc', 'ground beef', 'chocolate']"
209,"['vegetables mix', 'mineral water', 'escalope', 'frozen vegetables']"
210,"['red wine', 'tomatoes', 'herb & pepper']"
211,"['cereals', 'whole wheat pasta', 'olive oil', 'brownies', 'green tea']"
212,['cookies']
213,"['cookies', 'mushroom cream sauce', 'olive oil']"
214,"['pancakes', 'gluten free bar', 'ground beef', 'cooking oil', 'light mayo']"
215,"['mineral water', 'french fries']"
216,['herb & pepper']
217,['salmon']
218,"['eggs', 'escalope']"
219,"['mineral water', 'tomato juice']"
220,['mineral water']
221,"['soup', 'mineral water', 'shrimp', 'black tea']"
222,"['cake', 'frozen smoothie']"
223,"['whole wheat rice', 'honey', 'fromage blanc', 'turkey', 'burgers', 'chocolate', 'tomatoes', 'grated cheese']"
224,"['mineral water', 'pancakes', 'olive oil', 'ground beef', 'frozen vegetables']"
225,"['fresh bread', 'cake', 'olive oil', 'turkey', 'ground beef', 'burgers', 'milk']"
226,"['soup', 'spaghetti', 'mineral water', 'cereals', 'yams', 'energy drink', 'whole wheat pasta', 'chutney', 'ground beef', 'protein bar']"
227,"['whole wheat rice', 'cake', 'eggs', 'escalope', 'green tea']"
228,"['soup', 'yams', 'salmon', 'ground beef', 'green tea', 'avocado']"
229,['milk']
230,"['chocolate', 'spaghetti']"
231,"['honey', 'whole wheat pasta']"
232,"['whole wheat pasta', 'green tea']"
233,"['vegetables mix', 'spaghetti', 'meatballs', 'chocolate']"
234,"['eggs', 'low fat yogurt']"
235,"['mineral water', 'cake', 'eggs', 'shrimp', 'olive oil', 'tomato juice', 'brownies', 'fresh tuna', 'pasta']"
236,"['fresh bread', 'mineral water', 'hot dogs', 'green grapes']"
237,"['eggs', 'meatballs', 'chocolate', 'frozen vegetables']"
238,['chocolate']
239,"['meatballs', 'milk']"
240,['low fat yogurt']
241,['green tea']
242,"['pasta', 'escalope']"
243,"['fresh bread', 'pepper', 'french wine', 'salmon', 'magazines', 'olive oil', 'chocolate', 'rice', 'light mayo']"
244,"['vegetables mix', 'red wine', 'hot dogs', 'clothes accessories', 'french wine', 'green tea', 'rice']"
245,"['spaghetti', 'cake', 'dessert wine', 'burgers', 'green tea', 'protein bar', 'chicken']"
246,"['fresh bread', 'french wine', 'cake']"
247,"['flax seed', 'eggs', 'burgers', 'frozen vegetables']"
248,['red wine']
249,"['energy bar', 'mineral water', 'pepper', 'green grapes']"
250,"['cake', 'eggs', 'chocolate', 'green tea', 'milk', 'french fries']"
251,['french fries']
252,['almonds']
253,"['burgers', 'mineral water', 'green tea']"
254,"['pancakes', 'milk']"
255,"['eggs', 'pancakes', 'tomato juice', 'salt']"
256,['mineral water']
257,"['spaghetti', 'mineral water', 'olive oil', 'ham']"
258,"['fresh bread', 'salt', 'tomato juice']"
259,"['spaghetti', 'mushroom cream sauce']"
260,"['spaghetti', 'mineral water', 'pet food', 'eggs']"
261,"['spaghetti', 'frozen vegetables']"
262,['energy drink']
263,['muffins']
264,"['turkey', 'milk']"
265,['cookies']
266,['chocolate']
267,"['spaghetti', 'mineral water', 'eggs', 'escalope', 'chocolate', 'cooking oil']"
268,"['spaghetti', 'pepper', 'shrimp', 'green tea', 'frozen vegetables']"
269,"['red wine', 'mineral water', 'low fat yogurt', 'burgers', 'french fries', 'hand protein bar', 'fresh tuna']"
270,"['fresh bread', 'energy drink', 'eggs', 'pancakes']"
271,"['hot dogs', 'frozen smoothie', 'strong cheese', 'salmon', 'green tea', 'french fries']"
272,"['frozen smoothie', 'shrimp', 'sandwich', 'tomatoes', 'milk', 'grated cheese', 'pasta']"
273,"['herb & pepper', 'eggs', 'pancakes', 'whole wheat pasta', 'olive oil']"
274,"['antioxydant juice', 'spaghetti']"
275,"['almonds', 'eggs', 'white wine', 'strawberries', 'chocolate', 'milk']"
276,"['french fries', 'strawberries']"
277,['mineral water']
278,['eggs']
279,['escalope']
280,['cake']
281,"['antioxydant juice', 'whole wheat pasta', 'green tea', 'body spray']"
282,"['mineral water', 'oil', 'frozen smoothie']"
283,"['champagne', 'french fries']"
284,"['chocolate', 'french fries']"
285,"['eggs', 'spaghetti', 'frozen vegetables']"
286,['hot dogs']
287,"['cookies', 'chocolate']"
288,['pancakes']
289,"['salmon', 'shrimp', 'butter', 'chicken']"
290,"['cookies', 'chocolate', 'babies food']"
291,"['fresh bread', 'spaghetti', 'pepper', 'cake', 'chocolate', 'french fries']"
292,"['cereals', 'french fries', 'avocado', 'oil']"
293,"['spaghetti', 'mineral water', 'herb & pepper', 'low fat yogurt', 'eggs', 'shampoo', 'tomato juice', 'spinach', 'green tea', 'cooking oil', 'oil']"
294,"['spaghetti', 'pepper', 'herb & pepper', 'mint green tea', 'ground beef', 'french fries', 'frozen vegetables']"
295,['french fries']
296,"['green tea', 'tomato juice']"
297,"['eggs', 'whole wheat rice', 'chocolate']"
298,"['red wine', 'spaghetti', 'mineral water', 'herb & pepper', 'eggs', 'salmon', 'green tea', 'grated cheese', 'cooking oil']"
299,"['fresh bread', 'low fat yogurt', 'shallot', 'tomato juice', 'french fries', 'cookies']"
300,"['spaghetti', 'honey', 'burgers', 'muffins', 'fresh tuna']"
301,"['spaghetti', 'herb & pepper', 'eggs', 'ground beef', 'chicken']"
302,"['mayonnaise', 'tomato juice', 'grated cheese', 'muffins']"
303,"['mineral water', 'hot dogs', 'yams', 'frozen smoothie', 'energy drink', 'whole wheat pasta', 'muffins']"
304,"['soup', 'spaghetti', 'eggs', 'salmon', 'olive oil', 'burgers', 'milk', 'blueberries']"
305,"['chocolate', 'magazines', 'champagne']"
306,"['spaghetti', 'mineral water', 'yams', 'french wine', 'chocolate', 'rice', 'green grapes', 'frozen vegetables']"
307,"['chocolate', 'tomato sauce']"
308,"['eggs', 'milk']"
309,['pet food']
310,['yogurt cake']
311,['green tea']
312,"['pasta', 'escalope']"
313,"['herb & pepper', 'ground beef']"
314,"['honey', 'brownies', 'mineral water']"
315,"['cake', 'energy drink', 'eggs', 'turkey']"
316,"['soup', 'eggs', 'dessert wine', 'salmon', 'turkey', 'tomato juice', 'ground beef', 'burgers', 'gums', 'candy bars']"
317,"['chicken', 'spaghetti', 'mineral water']"
318,"['turkey', 'ground beef', 'melons', 'french fries', 'carrots']"
319,"['eggs', 'mineral water', 'low fat yogurt']"
320,"['shampoo', 'cooking oil', 'turkey']"
321,"['spaghetti', 'hot dogs']"
322,"['chocolate', 'green tea']"
323,"['mineral water', 'pepper', 'cake', 'eggs', 'tomato juice', 'chocolate', 'mashed potato', 'grated cheese']"
324,['chocolate']
325,"['spaghetti', 'strong cheese', 'pancakes', 'olive oil']"
326,"['soup', 'red wine', 'mineral water', 'rice', 'cookies']"
327,"['red wine', 'spaghetti', 'shrimp']"
328,['green tea']
329,"['mineral water', 'frozen smoothie', 'french fries', 'chicken']"
330,['muffins']
331,"['chocolate', 'cake']"
332,"['soup', 'mineral water', 'meatballs', 'olive oil', 'tomatoes', 'avocado', 'fresh tuna']"
333,"['turkey', 'french fries']"
334,"['fresh bread', 'herb & pepper', 'eggs', 'pancakes', 'turkey', 'light cream', 'ground beef', 'burgers', 'rice', 'champagne']"
335,['escalope']
336,"['fresh bread', 'chocolate', 'escalope']"
337,"['vegetables mix', 'spaghetti', 'french wine', 'ham', 'chocolate', 'french fries']"
338,"['avocado', 'light mayo']"
339,"['spaghetti', 'yams', 'butter', 'chocolate']"
340,"['energy bar', 'french fries', 'eggs']"
341,"['barbecue sauce', 'eggplant', 'fresh tuna']"
342,['energy drink']
343,"['whole wheat rice', 'hot dogs', 'green tea', 'french fries']"
344,"['chicken', 'mineral water', 'green tea']"
345,"['eggs', 'mushroom cream sauce', 'cake']"
346,['escalope']
347,"['antioxydant juice', 'escalope']"
348,"['spaghetti', 'shrimp', 'french fries']"
349,"['spaghetti', 'salmon', 'tomato juice', 'grated cheese']"
350,"['spaghetti', 'green tea']"
351,"['champagne', 'protein bar']"
352,"['avocado', 'mineral water', 'chocolate']"
353,"['champagne', 'tomatoes', 'green tea']"
354,"['chicken', 'french fries', 'escalope']"
355,"['frozen smoothie', 'eggs', 'tomatoes', 'green tea', 'light mayo', 'frozen vegetables']"
356,"['frozen smoothie', 'honey', 'escalope', 'ground beef', 'chocolate', 'french fries', 'green grapes', 'cider', 'champagne', 'chicken']"
357,"['champagne', 'french fries']"
358,"['soup', 'mineral water']"
359,"['spaghetti', 'chocolate', 'milk', 'babies food', 'frozen vegetables']"
360,"['honey', 'whole wheat rice']"
361,"['chicken', 'whole wheat rice', 'tomato juice']"
362,['pancakes']
363,"['tomato juice', 'green tea', 'candy bars', 'protein bar']"
364,['french fries']
365,['mineral water']
366,['escalope']
367,"['mineral water', 'herb & pepper', 'yams', 'bacon', 'whole wheat pasta', 'spinach', 'nonfat milk', 'grated cheese']"
368,"['spaghetti', 'milk']"
369,"['chocolate', 'white wine', 'milk']"
370,['sandwich']
371,"['chocolate', 'light mayo']"
372,"['spaghetti', 'frozen smoothie', 'whole wheat pasta', 'shrimp', 'meatballs', 'tomato juice', 'chicken']"
373,"['red wine', 'spaghetti', 'mineral water', 'eggs', 'ground beef']"
374,"['melons', 'yams']"
375,"['spaghetti', 'cooking oil']"
376,['french fries']
377,"['mineral water', 'hot dogs', 'frozen smoothie', 'spinach', 'chocolate', 'milk', 'cooking oil']"
378,"['tomato sauce', 'milk']"
379,"['eggs', 'shrimp', 'french fries', 'cider']"
380,['champagne']
381,['salad']
382,['french fries']
383,"['energy bar', 'mineral water', 'honey', 'green tea', 'rice', 'frozen vegetables']"
384,"['salad', 'french fries']"
385,"['honey', 'chocolate', 'brownies', 'french fries']"
386,"['gluten free bar', 'green tea', 'strawberries']"
387,"['mineral water', 'honey', 'mushroom cream sauce', 'salmon', 'gluten free bar', 'ground beef', 'green tea', 'extra dark chocolate', 'frozen vegetables']"
388,"['mineral water', 'meatballs', 'tomatoes', 'grated cheese']"
389,"['chocolate', 'shrimp', 'water spray']"
390,['turkey']
391,"['eggs', 'turkey']"
392,"['soup', 'fresh bread', 'french wine', 'pancakes', 'eggs', 'turkey', 'tomato juice', 'butter', 'tomatoes', 'green tea', 'frozen vegetables']"
393,['spaghetti']
394,"['low fat yogurt', 'milk', 'frozen smoothie']"
395,"['mineral water', 'whole wheat rice', 'cereals', 'burgers', 'chocolate', 'milk', 'french fries']"
396,['mineral water']
397,"['soup', 'mineral water', 'cake', 'chocolate', 'tomatoes']"
398,['mineral water']
399,"['spaghetti', 'ground beef']"
400,"['pepper', 'frozen smoothie']"
401,['yogurt cake']
402,"['red wine', 'pancakes']"
403,['candy bars']
404,"['eggs', 'low fat yogurt', 'french fries']"
405,['cookies']
406,['cookies']
407,"['soup', 'vegetables mix', 'spaghetti', 'escalope', 'spinach', 'french fries', 'toothpaste', 'cauliflower']"
408,['cookies']
409,"['soup', 'corn', 'soda', 'eggs', 'olive oil']"
410,"['chocolate', 'low fat yogurt', 'frozen smoothie']"
411,"['spaghetti', 'mineral water', 'pancakes', 'chocolate', 'milk', 'french fries']"
412,['mineral water']
413,"['soup', 'mineral water', 'herb & pepper', 'almonds', 'tomato sauce', 'olive oil', 'milk', 'frozen vegetables']"
414,"['burgers', 'eggs']"
415,['french fries']
416,"['cottage cheese', 'frozen smoothie']"
417,"['mineral water', 'chocolate', 'tomatoes', 'light mayo']"
418,"['fresh bread', 'low fat yogurt', 'shallot', 'salmon', 'escalope', 'strawberries']"
419,['energy bar']
420,"['red wine', 'spaghetti', 'pancakes', 'tomato juice', 'ground beef', 'blueberries', 'cooking oil', 'oil']"
421,"['spaghetti', 'mineral water', 'frozen smoothie', 'ground beef', 'milk', 'champagne']"
422,['cookies']
423,"['salmon', 'escalope']"
424,['cookies']
425,['low fat yogurt']
426,['eggs']
427,"['red wine', 'hot dogs', 'butter']"
428,"['soup', 'mineral water', 'mashed potato', 'tomatoes']"
429,['cookies']
430,"['pancakes', 'salmon', 'parmesan cheese', 'ground beef', 'champagne']"
431,"['yams', 'eggs', 'olive oil', 'ground beef', 'chocolate']"
432,"['hot dogs', 'eggs', 'salmon', 'shrimp', 'cookies']"
433,"['magazines', 'mint']"
434,"['mineral water', 'eggs', 'turkey', 'escalope', 'extra dark chocolate', 'cooking oil']"
435,"['mineral water', 'mushroom cream sauce']"
436,"['soup', 'mineral water', 'french wine', 'milk', 'grated cheese', 'frozen vegetables']"
437,"['chocolate', 'cake']"
438,"['burgers', 'salt', 'white wine']"
439,['energy drink']
440,"['energy drink', 'olive oil', 'cake']"
441,"['whole wheat rice', 'ground beef']"
442,"['eggs', 'french fries']"
443,"['spaghetti', 'mushroom cream sauce', 'escalope']"
444,"['mineral water', 'whole wheat rice', 'cake', 'fromage blanc', 'french fries']"
445,"['mineral water', 'cake', 'eggs', 'turkey', 'ground beef', 'burgers', 'milk', 'light mayo', 'frozen vegetables']"
446,"['cottage cheese', 'green tea']"
447,"['eggs', 'fresh tuna', 'champagne']"
448,['cookies']
449,['cookies']
450,['cookies']
451,"['mineral water', 'tomatoes', 'eggplant']"
452,"['soup', 'spaghetti', 'mineral water', 'honey', 'chocolate', 'tomatoes', 'french fries', 'chicken', 'grated cheese']"
453,['protein bar']
454,"['red wine', 'mineral water', 'herb & pepper', 'shrimp', 'barbecue sauce', 'protein bar']"
455,"['spaghetti', 'mineral water', 'low fat yogurt', 'eggs', 'pancakes', 'escalope', 'burgers', 'ham', 'milk', 'french fries']"
456,['french fries']
457,"['soup', 'whole wheat rice', 'eggs', 'escalope', 'chocolate', 'melons', 'milk', 'frozen vegetables']"
458,['spaghetti']
459,"['soup', 'herb & pepper', 'low fat yogurt', 'energy drink', 'eggs', 'shrimp', 'protein bar', 'cooking oil', 'oil']"
460,"['spaghetti', 'mineral water', 'herb & pepper', 'shrimp', 'carrots', 'ground beef', 'ham', 'grated cheese']"
461,"['red wine', 'mineral water', 'low fat yogurt', 'yams', 'ground beef', 'ham', 'chocolate']"
462,"['low fat yogurt', 'mushroom cream sauce', 'chocolate', 'cottage cheese', 'french fries']"
463,['eggs']
464,"['cookies', 'cake']"
465,"['mineral water', 'chocolate bread', 'cake', 'grated cheese']"
466,"['low fat yogurt', 'almonds', 'cake', 'tomatoes', 'champagne']"
467,"['herb & pepper', 'eggs', 'shrimp', 'salmon', 'butter', 'chocolate', 'milk', 'frozen vegetables']"
468,"['whole wheat rice', 'herb & pepper', 'whole wheat pasta', 'shrimp', 'green tea', 'chicken', 'cauliflower']"
469,"['eggs', 'corn']"
470,"['soup', 'mineral water', 'shrimp', 'tomato sauce', 'olive oil', 'salmon', 'chocolate', 'champagne', 'green beans', 'frozen vegetables']"
471,"['mineral water', 'herb & pepper', 'mint', 'eggs', 'tomato sauce', 'light cream', 'ham', 'gums', 'green tea', 'green grapes', 'oil']"
472,"['energy bar', 'chocolate', 'cake']"
473,"['spaghetti', 'herb & pepper', 'eggs', 'shrimp']"
474,"['mineral water', 'honey', 'fresh tuna', 'cooking oil']"
475,"['red wine', 'mineral water', 'low fat yogurt', 'pet food', 'ketchup', 'tomato juice', 'escalope', 'eggplant', 'green tea', 'chili', 'oil']"
476,"['mineral water', 'herb & pepper', 'cake', 'frozen smoothie', 'eggs', 'pancakes', 'shrimp', 'blueberries', 'tea']"
477,"['mineral water', 'protein bar', 'ground beef']"
